date	watout.dat	watout_1.dat
1990-01-01	0.00E+00	0.00E+00
1990-01-02	0.00E+00	0.00E+00
1990-01-03	3.87E+00	1.39E+01
1990-01-04	1.45E+01	1.58E+01
1990-01-05	2.06E+00	5.51E+00
1990-01-06	3.41E+00	2.50E+01
1990-01-07	2.87E+00	1.22E+01
1990-01-08	1.92E+00	1.12E+01
1990-01-09	3.40E+00	2.63E+01
1990-01-10	1.59E+01	3.50E+01
1990-01-11	8.30E+01	1.23E+02
1990-01-12	8.61E+01	7.77E+01
1990-01-13	9.20E+00	3.32E+01
1990-01-14	4.61E+00	1.01E+01
1990-01-15	3.79E+00	1.60E+01
1990-01-16	3.89E+00	1.07E+01
1990-01-17	2.98E+00	1.58E+01
1990-01-18	2.84E+00	9.21E+00
1990-01-19	2.46E+00	9.44E+00
1990-01-20	5.65E+01	6.01E+01
1990-01-21	1.81E+01	4.26E+01
1990-01-22	3.28E+01	6.25E+01
1990-01-23	7.17E+00	3.25E+01
1990-01-24	1.63E+02	2.30E+02
1990-01-25	7.38E+01	6.74E+01
1990-01-26	4.95E+01	7.58E+01
1990-01-27	1.54E+01	2.58E+01
1990-01-28	8.08E+00	8.90E+00
1990-01-29	2.14E+01	4.99E+01
1990-01-30	9.34E+00	9.99E+00
1990-01-31	7.26E+00	1.42E+01
1990-02-01	6.50E+00	3.45E+01
1990-02-02	1.13E+01	2.12E+01
1990-02-03	1.05E+02	1.45E+02
1990-02-04	2.62E+01	5.95E+01
1990-02-05	9.76E+00	3.62E+01
1990-02-06	9.68E+00	2.00E+01
1990-02-07	8.13E+00	3.21E+01
1990-02-08	8.14E+00	2.50E+01
1990-02-09	7.95E+00	1.51E+01
1990-02-10	7.68E+00	2.13E+01
1990-02-11	6.81E+00	1.04E+01
1990-02-12	1.38E+01	2.77E+01
1990-02-13	6.97E+00	1.23E+01
1990-02-14	6.70E+00	2.42E+01
1990-02-15	6.86E+00	9.69E+00
1990-02-16	7.33E+01	8.16E+01
1990-02-17	2.25E+01	3.34E+01
1990-02-18	9.23E+00	1.31E+01
1990-02-19	8.42E+00	1.82E+01
1990-02-20	7.29E+00	3.17E+01
1990-02-21	1.25E+01	1.11E+01
1990-02-22	8.79E+00	1.48E+01
1990-02-23	2.73E+01	6.13E+01
1990-02-24	4.83E+01	8.68E+01
1990-02-25	2.60E+01	5.93E+01
1990-02-26	2.33E+01	6.76E+01
1990-02-27	1.27E+01	2.22E+01
1990-02-28	1.08E+01	4.08E+01
1990-03-01	1.08E+01	2.02E+01
1990-03-02	1.03E+01	2.00E+01
1990-03-03	3.33E+01	3.52E+01
1990-03-04	1.12E+02	1.87E+02
1990-03-05	6.60E+01	7.09E+01
1990-03-06	2.01E+02	2.78E+02
1990-03-07	1.09E+02	1.09E+02
1990-03-08	1.38E+02	1.88E+02
1990-03-09	3.18E+02	3.78E+02
1990-03-10	7.30E+01	8.59E+01
1990-03-11	9.03E+01	1.51E+02
1990-03-12	2.38E+01	3.62E+01
1990-03-13	1.89E+01	4.82E+01
1990-03-14	1.71E+01	4.35E+01
1990-03-15	1.77E+01	3.07E+01
1990-03-16	1.63E+01	5.37E+01
1990-03-17	1.91E+01	5.67E+01
1990-03-18	1.48E+01	5.04E+01
1990-03-19	1.37E+01	4.77E+01
1990-03-20	1.33E+01	4.69E+01
1990-03-21	1.48E+01	2.76E+01
1990-03-22	1.27E+01	3.20E+01
1990-03-23	1.59E+01	1.54E+01
1990-03-24	1.63E+01	3.05E+01
1990-03-25	6.33E+01	6.23E+01
1990-03-26	5.90E+01	7.56E+01
1990-03-27	1.91E+02	2.06E+02
1990-03-28	2.42E+01	6.48E+01
1990-03-29	3.62E+01	3.95E+01
1990-03-30	2.12E+01	2.70E+01
1990-03-31	2.46E+01	7.19E+01
1990-04-01	1.85E+01	3.74E+01
1990-04-02	2.47E+01	5.11E+01
1990-04-03	2.21E+01	2.81E+01
1990-04-04	3.18E+01	6.39E+01
1990-04-05	1.81E+01	3.18E+01
1990-04-06	1.75E+01	1.52E+01
1990-04-07	1.50E+01	3.59E+01
1990-04-08	3.58E+01	5.83E+01
1990-04-09	4.75E+01	4.61E+01
1990-04-10	6.05E+01	9.78E+01
1990-04-11	3.77E+01	3.33E+01
1990-04-12	1.96E+01	6.08E+01
1990-04-13	5.48E+01	8.08E+01
1990-04-14	2.03E+01	5.63E+01
1990-04-15	1.92E+01	2.34E+01
1990-04-16	1.82E+01	3.23E+01
1990-04-17	1.57E+01	4.48E+01
1990-04-18	1.70E+01	5.14E+01
1990-04-19	1.52E+02	1.57E+02
1990-04-20	2.55E+01	3.39E+01
1990-04-21	1.65E+01	2.42E+01
1990-04-22	1.67E+01	4.57E+01
