-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 4:45:44 PM     9/16/2020 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 558
  Max.    Elevation: 1344
  Mean.   Elevation: 778.58796608352
  Std.    Deviation: 89.3835230543493

                    Elevation          % Area Below Elevation         % Area Watershed

                    558                     0                         0
                    561                     0                         0
                    562                     0                         0
                    563                     0                         0
                    564                     0                         0
                    565                     .01                      0
                    566                     .01                      0
                    567                     .01                      0
                    568                     .01                      0
                    569                     .02                      0
                    570                     .02                      0
                    571                     .02                      0
                    572                     .03                      0
                    573                     .03                      .01
                    574                     .04                      .01
                    575                     .05                      .01
                    576                     .06                      .01
                    577                     .08                      .01
                    578                     .09                      .02
                    579                     .12                      .02
                    580                     .14                      .03
                    581                     .17                      .03
                    582                     .21                      .04
                    583                     .24                      .03
                    584                     .28                      .04
                    585                     .33                      .05
                    586                     .38                      .05
                    587                     .43                      .05
                    588                     .49                      .05
                    589                     .55                      .07
                    590                     .61                      .05
                    591                     .68                      .07
                    592                     .74                      .06
                    593                     .8                       .06
                    594                     .86                      .06
                    595                     .93                      .07
                    596                     1.01                      .07
                    597                     1.08                      .07
                    598                     1.13                      .06
                    599                     1.2                       .07
                    600                     1.26                      .06
                    601                     1.32                      .06
                    602                     1.38                      .06
                    603                     1.45                      .07
                    604                     1.52                      .06
                    605                     1.6                       .08
                    606                     1.67                      .07
                    607                     1.74                      .07
                    608                     1.81                      .07
                    609                     1.88                      .07
                    610                     1.95                      .07
                    611                     2.02                      .08
                    612                     2.09                      .07
                    613                     2.17                      .08
                    614                     2.25                      .08
                    615                     2.32                      .07
                    616                     2.39                      .07
                    617                     2.46                      .07
                    618                     2.53                      .08
                    619                     2.61                      .08
                    620                     2.69                      .08
                    621                     2.77                      .08
                    622                     2.84                      .08
                    623                     2.93                      .08
                    624                     3.01                      .08
                    625                     3.09                      .08
                    626                     3.16                      .08
                    627                     3.25                      .09
                    628                     3.34                      .09
                    629                     3.43                      .09
                    630                     3.52                      .09
                    631                     3.6                       .09
                    632                     3.7                       .1
                    633                     3.8                       .1
                    634                     3.88                      .08
                    635                     3.96                      .08
                    636                     4.05                      .09
                    637                     4.13                      .09
                    638                     4.21                      .08
                    639                     4.31                      .09
                    640                     4.39                      .08
                    641                     4.45                      .07
                    642                     4.54                      .09
                    643                     4.63                      .09
                    644                     4.73                      .1
                    645                     4.83                      .1
                    646                     4.94                      .11
                    647                     5.05                      .11
                    648                     5.17                      .12
                    649                     5.3                       .13
                    650                     5.42                      .12
                    651                     5.54                      .12
                    652                     5.69                      .15
                    653                     5.85                      .16
                    654                     6.02                      .17
                    655                     6.19                      .17
                    656                     6.38                      .18
                    657                     6.57                      .2
                    658                     6.79                      .22
                    659                     7                         .21
                    660                     7.2                       .21
                    661                     7.41                      .21
                    662                     7.62                      .21
                    663                     7.86                      .23
                    664                     8.09                      .24
                    665                     8.32                      .23
                    666                     8.55                      .23
                    667                     8.8                       .25
                    668                     9.07                      .27
                    669                     9.33                      .27
                    670                     9.59                      .26
                    671                     9.86                      .27
                    672                     10.12                     .26
                    673                     10.39                     .27
                    674                     10.67                     .27
                    675                     10.94                     .28
                    676                     11.26                     .31
                    677                     11.55                     .29
                    678                     11.84                     .29
                    679                     12.15                     .31
                    680                     12.49                     .34
                    681                     12.82                     .33
                    682                     13.12                     .31
                    683                     13.46                     .33
                    684                     13.8                      .34
                    685                     14.16                     .36
                    686                     14.49                     .33
                    687                     14.86                     .37
                    688                     15.23                     .37
                    689                     15.61                     .38
                    690                     15.97                     .36
                    691                     16.36                     .39
                    692                     16.73                     .37
                    693                     17.13                     .4
                    694                     17.53                     .4
                    695                     17.93                     .4
                    696                     18.34                     .41
                    697                     18.71                     .37
                    698                     19.13                     .42
                    699                     19.54                     .42
                    700                     19.94                     .4
                    701                     20.35                     .4
                    702                     20.74                     .39
                    703                     21.13                     .39
                    704                     21.51                     .38
                    705                     21.91                     .4
                    706                     22.31                     .39
                    707                     22.7                      .39
                    708                     23.06                     .37
                    709                     23.43                     .37
                    710                     23.85                     .42
